timestamp,E,F,G,H,I,J,S,T,U,V,W,L,total_signal,GR,ARI,NDVI,NDWI,T_over_S,U_over_S
2025-09-30T17:46:57,260.3515625,408.1066080729167,176.29566955566406,400.8540344238281,434.5141194661458,227.5993906656901,2432.5419108072915,966.8373413085938,558.6662801106771,426.49123128255206,264.9777526855469,28.938871383666992,6586.174772262572,0.12801504765636568,0.0012786041992225126,-0.7511158417235311,0.8030810848123227,0.3974596848724912,0.22966357850963878
2025-09-30T17:46:59,259.4233907063802,406.5438537597656,175.78466796875,399.56923421223956,432.6925557454427,228.13586934407553,2430.0909016927085,960.8523966471354,555.0403849283854,425.6614685058594,263.49329630533856,28.938871383666992,6566.226891199748,0.12770315976477242,0.0013054254810750563,-0.7516262506906641,0.8020814767926436,0.39539771782933814,0.22840313691218936
2025-09-30T17:47:01,258.9593200683594,406.3205973307292,175.44400024414062,399.40863037109375,432.4123128255208,225.45349629720053,2376.866943359375,943.7137654622396,545.8362223307291,423.17223103841144,262.37994384765625,28.938871383666992,6478.906334559122,0.13043773353395688,0.0012643199257966085,-0.7479256773328076,0.8013250784321093,0.39704105780882704,0.22964525795426505
2025-09-30T17:47:03,258.72727457682294,405.87408447265625,175.27366638183594,398.9268493652344,432.132080078125,222.77112325032553,2330.996337890625,929.2955322265625,537.7476603190104,421.5127258300781,260.52435302734375,28.938871383666992,6402.720558802287,0.13286184266569584,0.0012164514798071666,-0.7447480234310422,0.8000514818934201,0.39866880832061047,0.23069433940236528
2025-09-30T17:47:06,258.26318359375,405.2043151855469,175.27366638183594,398.9268493652344,431.99195353190106,220.6252237955729,2298.0816243489585,917.5977376302084,531.6115315755209,420.12982177734375,259.78212483723956,28.938871383666992,6346.426903406778,0.1346414332516361,0.0011727903156311306,-0.7422660134872047,0.799537465148359,0.39928857526553774,0.23132839405829428
2025-09-30T17:47:08,258.03113810221356,405.2043151855469,175.27366638183594,398.4450378417969,431.4314676920573,218.88168334960938,2274.2709147135415,909.70849609375,526.8699951171875,419.0234680175781,259.0398864746094,28.938871383666992,6305.118940353394,0.1359726043969563,0.0011366853078373313,-0.7405339295271856,0.7990207916799978,0.4000000572527805,0.23166545010472073
2025-09-30T17:47:10,257.79909261067706,404.5345764160156,174.93299865722656,398.4450378417969,431.4314676920573,217.27225748697916,2256.0626627604165,902.907470703125,523.5230305989584,418.1937255859375,258.2976379394531,28.617328643798828,6272.017286936441,0.13693233414156977,0.0011139539393932463,-0.7392401851716882,0.8005170034551324,0.4002138263297918,0.23205163546228774
2025-09-30T17:47:12,257.5670471191406,404.5345764160156,174.76266479492188,398.4450378417969,431.2913513183594,216.33342488606772,2241.706298828125,898.2827555338541,521.0127766927084,417.3639831542969,258.2976379394531,28.295785903930664,6247.89334042867,0.1377644037064139,0.0010995517680514712,-0.7380686563344471,0.802537088782654,0.4007138473061528,0.23241794742026337
2025-09-30T17:47:14,257.5670471191406,404.5345764160156,174.76266479492188,398.1238505045573,431.15122477213544,215.2604777018229,2230.151123046875,894.4741414388021,518.7814737955729,417.3639831542969,258.2976379394531,27.9742431640625,6228.442443847656,0.13844220309466868,0.0010765113466044331,-0.7368900410649702,0.804561712060382,0.40108229984735494,0.23262166784769445
2025-09-30T17:47:17,257.5670471191406,404.5345764160156,174.76266479492188,398.1238505045573,431.01109822591144,214.4557647705078,2220.69677734375,891.2096354166666,516.8290608723959,416.53424072265625,257.1842956542969,27.9742431640625,6210.883255004883,0.13903160389054176,0.0010590796782132946,-0.7365772149729166,0.8037986638591835,0.40131982200769994,0.2327328368939196
2025-09-30T17:47:19,256.8709411621094,404.0880635579427,174.76266479492188,398.4450378417969,430.73085530598956,213.78516642252603,2212.993408203125,888.2172037760416,515.4345092773438,416.53424072265625,257.1842956542969,27.9742431640625,6197.0206298828125,0.13942277265512418,0.0010444529501881421,-0.7357813874445643,0.8037986638591835,0.40136459534113283,0.23291280822018307
2025-09-30T17:47:21,256.8709411621094,403.86480712890625,174.76266479492188,398.1238505045573,430.5907389322917,213.11457316080728,2205.990234375,886.3128865559896,513.4820760091146,415.98105875651044,257.1842956542969,27.9742431640625,6184.252370198567,0.1398036859329076,0.001029734283572654,-0.7352424580059009,0.8037986638591835,0.4017755259044015,0.23276715735534256
